imie,plec,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
WACLAWA,K,1,1,2,1,1,1,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARIA,K,,,1,,1,,,,,,,,,,,,,1,1,,1,2,,2,2,2,4,2,,2,3,2,4,4,3,1,5,2,6,4,3,3,6,7,2,6,5,5,5,4,12,8,15,6,8,10,9,15,13,14,18,12,5,3,4,5,3
SARA,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,,,2,1,,2,2,3,5,6,5,1,7,,3,4,1,2,3,1,2,3,6,3,,4,3,4,2,4,5
JOWITA,K,,,,,,,,,,,,,,,,,,,,,,1,,3,1,,4,3,1,5,2,1,3,2,1,2,4,1,2,,2,1,,3,1,,,1,,2,1,,,1,1,1,1,1,,1,,2,1,2,,1,
EDYTA,K,,,,,,,1,1,1,,,,,1,3,2,12,8,19,35,39,49,51,59,48,59,47,49,56,57,37,36,49,46,34,35,32,27,27,16,14,15,12,11,6,8,8,4,8,5,3,5,,1,2,,,1,1,,2,,1,1,,2,
WERONIKA,K,2,4,2,2,,2,1,4,,,1,,2,,,,,1,,,,,,1,,,,1,1,2,4,6,3,6,20,12,16,18,20,20,19,17,24,24,27,25,36,48,47,71,83,80,58,47,44,57,46,51,49,36,30,26,22,23,20,17,9
STEFANIA,K,9,8,6,5,6,2,6,,1,,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,5,,1,
JOZEFA,K,13,4,11,6,2,6,2,3,1,2,2,1,1,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGA,K,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,2,1,,1,4,1,6,4,4,6,6,8,4,6,7,7,4,21,7,9,6,8,7,12,7,12,11,12,15,17,18,13,21,16,17,16,18,19,31,19
JUDYTA,K,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,2,,,,,,9,5,1,2,,,1,1,1,,,1,,1,1,,,,1,,1,3,3,,1,3,1,,,1,1
KLARA,K,,,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,1,,1,,1,1,,2,1,1,1,5,1,2,,3,1,1,2,,5,5,1,5,4,8,6,14,8,14,14,11
MALWINA,K,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,1,1,,1,,1,2,1,17,8,8,3,6,4,3,1,2,3,2,3,3,2,1,1,,,,2,1,9,,3,4,2,3,1,4,2,6,1
ANETTA,K,,,,,,,,1,,,,,1,,,1,2,,4,,1,5,3,4,1,3,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROZALIA,K,,1,1,5,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,1,2,2,1,,1,1,,2,4,4,4,2,3,1
EWA,K,89,116,122,129,136,134,132,154,152,162,163,148,153,138,123,124,137,106,106,104,110,120,107,99,128,101,92,74,83,80,60,63,62,68,53,58,50,32,30,20,29,25,28,19,12,14,11,10,12,8,7,9,4,8,5,7,4,10,5,7,16,6,10,7,13,10,2
HONORATA,K,2,1,,,,3,,2,,,,,,,,1,,,,1,1,,,1,1,2,1,1,2,,2,,1,2,3,3,1,1,1,2,1,1,,1,,,1,,1,2,,2,,,1,2,,1,,,,,,,1,1,
OLGA,K,,1,,1,,2,2,1,,,,2,2,1,1,1,2,,1,2,2,1,3,2,1,2,4,1,4,6,10,18,5,14,14,22,21,31,33,32,29,21,19,23,17,11,11,13,6,9,9,10,9,14,10,14,9,10,8,11,9,11,10,8,7,6,2
ZDZISLAWA,K,5,6,7,13,2,8,1,4,3,3,8,3,1,3,,2,1,1,2,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZESLAWA,K,17,10,13,11,9,8,7,3,6,1,,,1,,1,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARLENA,K,,,,1,,,,,2,,2,2,,1,,2,1,1,1,2,1,,2,4,7,9,5,8,5,3,8,5,6,10,12,11,10,7,9,14,15,8,11,7,7,9,5,2,3,4,2,,,,2,2,,,2,4,,,3,1,1,,
NINA,K,,,2,,1,,,,,1,2,2,2,2,1,,,,,2,1,,2,2,,5,,3,,5,7,3,4,2,4,6,5,4,2,6,3,3,1,3,2,2,4,1,2,2,4,5,1,8,,11,4,9,9,14,14,19,21,10,15,16,4
ANGELIKA,K,,,,,,,,,,,,,,,,,,,1,,,1,1,3,6,3,4,3,2,9,6,10,7,13,12,13,7,14,7,14,17,18,24,12,27,21,17,18,15,15,8,4,6,11,4,7,1,3,,4,3,1,1,5,1,,
FRANCISZKA,K,3,1,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,1,,1,,,3,
IWONA,K,,7,5,2,5,4,9,25,29,37,42,32,53,52,88,88,81,79,104,77,85,85,111,108,90,81,76,64,78,58,66,49,49,57,50,49,45,31,25,35,22,13,11,11,8,5,3,2,7,,2,1,2,,,,1,2,2,2,,,,,,,
NELA,K,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,2,5,3,1,3,1,2,3,5,14,10
BEATA,K,4,3,,6,9,9,11,12,31,32,36,62,59,74,112,105,128,155,144,148,185,140,128,116,107,85,84,83,65,74,67,40,51,52,42,46,38,24,27,39,26,18,16,12,15,9,9,9,3,4,3,3,4,,,3,,1,2,3,1,2,,,,,1
LEOKADIA,K,9,8,8,7,9,6,3,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIKTORIA,K,1,,1,1,,1,,,1,,,,,,,,,,,1,,,,,,1,,1,,,,2,,,,,2,,3,1,1,2,5,6,5,10,15,27,25,42,62,81,81,76,82,67,81,66,72,76,45,51,52,46,52,47,41
ELIZA,K,5,5,1,6,4,1,3,3,5,3,,4,4,6,,,5,,,1,3,5,5,4,6,10,9,13,6,9,5,9,9,9,7,6,10,8,6,12,2,3,3,4,1,4,3,4,6,5,5,4,2,4,2,1,2,3,5,2,3,3,3,3,1,4,3
ALDONA,K,,,1,1,1,1,1,2,2,1,3,2,2,1,4,2,5,2,1,2,3,1,6,,3,1,4,4,3,5,4,4,7,6,3,,3,,3,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,
ELWIRA,K,,1,,3,1,1,2,1,2,3,1,2,2,,,,2,1,,,1,,1,,3,3,4,5,4,5,5,4,1,4,2,3,3,4,3,1,,,2,2,,1,,,2,2,,1,,,1,,,,,,,,,,,,
WIOLETA,K,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,1,,4,9,18,14,16,21,19,18,17,1,4,1,2,1,,2,1,,1,1,,1,,,1,,,,,,,,1,,,,
JULITA,K,,,1,,,,,1,,1,1,3,1,,1,1,1,3,2,,4,,1,1,2,6,2,3,2,3,3,4,4,,4,2,4,2,,3,2,1,1,,3,1,,1,2,2,3,1,1,1,7,3,,3,2,,,,2,2,2,,
RENATA,K,12,9,8,14,12,26,29,22,27,31,30,34,38,42,45,55,73,73,80,81,71,100,79,87,59,58,55,45,35,35,26,17,18,18,15,6,20,7,3,6,7,5,5,5,2,3,1,,,,,,,1,1,,,,,,,,,,,1,1
KAMILA,K,,1,,,1,,,,,,,,1,1,,,1,2,1,,2,5,1,5,5,8,7,13,13,18,19,19,26,40,30,39,29,31,29,22,16,17,23,19,22,19,31,24,16,12,14,13,12,12,10,20,9,8,7,6,7,10,9,3,4,3,4
LILIANNA,K,1,5,2,3,5,4,5,6,2,2,2,1,4,3,1,,2,,1,,,,,,,2,,3,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,2,4,3,3,5,6,6,4
ANETA,K,,,,,,,,,1,1,1,,3,1,3,8,5,12,8,10,11,47,59,74,83,118,116,102,81,74,79,62,58,50,39,54,32,31,25,24,24,14,24,21,14,13,10,6,4,4,9,2,3,3,2,,,1,,1,,,,,1,1,
JAGODA,K,,,1,,,,,,,,,,1,2,,,1,2,,,,,,,1,,,1,1,,,2,3,,4,8,8,3,4,5,7,7,10,6,6,2,5,5,7,3,5,3,1,6,10,3,9,16,6,14,12,22,16,11,16,22,12
MONIKA,K,4,,1,1,,1,4,,2,6,6,4,4,11,10,23,42,40,57,73,94,97,115,145,168,209,234,196,201,179,155,144,128,144,142,133,118,103,97,88,73,73,67,70,40,30,29,31,23,11,19,12,14,6,7,6,9,4,7,2,6,3,3,1,2,1,1
LUCJA,K,3,7,1,1,1,1,2,2,2,2,3,1,,,,,,1,,,,,1,,,,,,1,,,1,3,1,1,1,1,2,2,1,,1,,,,1,1,1,,3,1,1,2,4,4,3,4,3,9,14,14,7,10,7,22,15,15
EWELINA,K,,,3,1,,1,1,,,,,,1,,,2,,,,,2,2,,1,6,9,9,20,5,30,26,37,49,80,93,93,104,76,90,65,70,52,52,43,40,39,26,21,20,9,11,8,4,6,5,9,5,3,2,2,,5,1,,2,1,2
MAYA,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,1,,1,1,1,3,5,1,1,2,1,,2,1,
ROMANA,K,3,3,1,1,3,2,1,5,3,2,1,,2,,1,,,,2,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARZANNA,K,,,,,,,,,,,2,5,9,9,4,11,10,9,11,13,8,5,3,2,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZENOBIA,K,3,7,4,4,4,3,4,5,4,3,,,,2,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAZYNA,K,97,141,174,179,169,178,168,188,127,126,109,64,83,55,52,35,39,48,33,13,20,15,12,10,8,12,8,5,5,2,4,3,2,2,2,3,2,,,2,,2,,1,1,1,,,,,,,,,,,,,,,,,1,,,,
HANNA,K,20,29,38,46,46,55,61,52,37,44,36,32,27,23,25,9,17,12,8,5,4,2,11,2,2,3,2,,2,3,2,,4,3,1,5,2,4,2,1,2,1,4,5,1,3,1,3,3,,2,4,3,7,14,10,24,18,19,40,39,52,67,82,60,84,57
AGATA,K,1,,,,,,,3,,2,2,1,4,2,10,17,23,18,34,17,20,21,16,17,26,29,40,34,44,69,70,64,59,72,61,93,61,50,62,60,65,52,56,44,53,52,52,47,42,36,39,22,21,20,22,14,12,16,23,11,12,15,14,14,16,17,7
URSZULA,K,27,46,43,40,42,50,76,69,67,60,56,39,39,46,36,39,41,26,30,29,22,26,29,21,30,24,20,19,21,17,13,19,25,24,23,25,21,12,10,13,3,5,15,5,5,2,10,3,6,5,6,1,3,6,7,3,3,1,9,4,3,5,5,3,1,6,3
SABINA,K,8,3,8,4,7,6,1,2,4,3,,2,1,,1,1,2,1,,2,1,,,1,1,,4,,2,,1,3,2,2,,,3,1,2,3,,1,,1,2,,,,,,1,2,,,1,1,,,1,,1,2,2,1,3,,1
WIESLAWA,K,62,61,67,67,62,56,42,47,43,37,42,23,21,18,17,13,8,6,4,3,4,2,4,5,,1,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYSZARDA,K,2,7,2,3,1,1,2,1,1,,,,,,1,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLIVIA,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,2,,1,2,,3,3,2,7,5,2,1,5,4,1,1
KORNELIA,K,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,2,2,,1,3,1,,3,,,1,,1,3,,,1,1,1,1,1,3,1,2,2,3,3,4,7,8,6,9,9,27,15,23,25,17
ROMUALDA,K,4,,,2,,1,,3,4,1,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FELIKSA,K,2,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARIANNA,K,63,61,49,45,45,30,23,25,17,12,13,7,6,2,4,2,2,1,1,,,,,,2,,,,,,,,,1,1,1,,,,,,,,,,2,,,2,,1,,,,,2,1,,,,,3,2,,2,2,
IRMINA,K,1,1,1,2,1,1,2,4,1,1,1,,1,1,4,1,,,,,2,,,1,2,2,,3,1,1,1,2,1,1,5,1,,2,1,1,,,1,,,1,,,,,,,,,,,,1,,,,1,,,,,
DANUTA,K,94,99,122,126,132,110,97,121,94,73,50,49,53,41,28,39,23,20,24,9,15,14,13,10,9,4,4,5,5,2,3,3,3,,3,2,5,1,,,,2,,,,1,1,1,1,1,1,1,,2,,,,,,,1,,,1,,,
JOLANTA,K,29,29,35,34,58,55,84,99,108,111,129,114,121,92,98,90,77,59,68,52,50,36,44,32,25,36,36,22,21,17,21,16,20,12,13,17,7,7,6,7,6,5,2,2,1,3,1,2,4,1,1,,1,1,,,2,,,,,1,,,,,
MIECZYSLAWA,K,8,3,3,7,4,3,5,7,2,3,3,4,,1,,1,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEODORA,K,6,10,8,4,7,7,3,2,5,1,4,1,,4,1,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIANKA,K,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,3,1,3,4,1,4,2,2,1,5
WLADYSLAWA,K,6,8,8,4,8,3,5,2,1,2,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOFIA,K,108,126,141,88,91,87,71,83,71,45,38,35,29,16,25,18,11,8,4,5,6,3,7,6,2,2,2,3,3,2,,4,2,3,5,3,2,3,4,2,2,1,3,3,2,3,4,5,3,5,8,14,17,13,16,16,33,23,23,37,44,36,54,53,53,67,46
EMILIA,K,12,2,10,4,8,8,7,4,8,6,5,2,8,3,2,5,3,4,3,3,1,3,2,2,2,7,6,7,18,18,16,25,34,38,33,29,39,13,28,21,19,18,19,13,10,12,13,17,12,13,7,12,19,18,18,14,25,24,34,22,29,33,29,30,26,28,15
ANDZELIKA,K,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,2,,,1,,,,3,3,3,2,2,1,3,4,5,3,2,3,4,,3,2,2,4,,2,1,,2,,3,,1,2,,
JUSTYNA,K,2,2,2,4,1,2,2,4,,3,4,5,9,5,4,4,6,8,9,8,14,8,19,19,18,25,32,44,58,53,57,67,64,82,80,72,68,63,55,46,40,36,36,33,37,22,22,31,20,13,17,13,13,7,12,14,9,7,2,10,6,6,4,1,5,4,4
ANITA,K,,,,,,2,,,1,1,1,1,2,,2,2,3,5,4,11,7,4,7,4,9,9,6,9,7,7,7,7,6,6,8,11,7,8,5,10,7,9,3,6,2,3,2,8,6,4,5,3,3,,2,1,,1,,1,,,2,4,2,1,
ADRIANA,K,,,,,,,,,,,,,,,,,,1,,,2,1,,,2,1,1,4,3,3,3,1,5,4,2,1,2,4,,4,4,5,7,1,,2,1,1,2,1,,,,,1,,1,,,1,,1,,,1,,1
MIROSLAWA,K,18,12,13,17,11,22,17,31,23,20,20,12,23,11,8,11,4,8,3,5,2,2,3,5,4,1,1,3,1,,2,,,2,,2,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
JADWIGA,K,91,90,94,122,82,90,71,75,60,50,48,42,32,31,21,18,19,14,9,19,5,7,10,7,2,3,3,5,1,1,,2,2,2,7,1,1,3,3,3,2,,,,2,1,,1,1,,,1,,,1,2,2,,1,,1,2,,1,1,,
ANTONINA,K,1,4,4,4,2,,1,,3,1,1,1,1,,,,1,,,,,,,,,,,,,1,,,1,1,,,,,,,,1,,1,2,3,2,,3,3,2,2,2,,3,5,8,13,11,18,26,21,20,27,37,30,24
KAZIMIERA,K,28,21,24,21,17,13,16,15,5,9,5,6,4,1,4,4,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARTYNA,K,,,,1,,,,,,,,,,,,,,,,,,,,,2,,1,,,,1,,1,3,1,5,9,9,8,1,3,5,5,7,9,7,6,14,8,13,8,14,32,47,26,40,25,33,33,30,42,36,23,22,14,28,16
DAGMARA,K,,,,2,1,,,,1,,,,,,,,3,,1,1,3,,4,2,2,5,6,8,5,7,6,12,8,12,9,8,14,7,12,8,5,2,9,3,9,4,5,2,6,5,2,2,3,3,1,4,,1,2,3,7,,3,2,3,,
MARZENNA,K,,1,3,2,2,4,3,4,7,6,4,3,4,2,1,1,3,2,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIWIA,K,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,2,,,,,,1,,1,,,,,,,3,,2,2,1,1,3,3,4,6,5,3,5,7,3,
LUCYNA,K,25,29,36,31,44,29,35,21,20,25,25,14,8,12,15,11,11,6,7,4,4,4,2,2,2,,4,5,3,4,1,2,2,1,5,1,,3,1,,,,,,,,,,1,,,,,,,,,1,,,1,1,,,1,,
ALEKSANDRA,K,3,9,6,5,8,10,1,10,4,5,5,3,,5,5,5,2,1,4,3,2,7,10,11,13,9,7,21,17,28,33,43,41,60,50,58,63,59,69,82,96,100,100,102,124,94,96,100,121,120,100,105,81,62,88,76,86,80,75,66,69,82,65,78,66,74,47
VIOLETTA,K,,,1,,,1,2,,2,1,2,6,16,5,10,4,8,2,7,15,4,5,8,13,,,1,,,,,,,,,,,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
GENOWEFA,K,19,14,16,7,7,8,7,3,1,2,4,3,3,1,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLA,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,1,3,2,3,6,4,4,9,10,9,6,18,24,19,20,23,30
STANISLAWA,K,49,29,26,37,21,21,13,17,21,7,8,3,3,2,2,3,2,1,1,1,,3,2,2,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
BARBARA,K,133,182,162,162,175,189,151,164,166,125,149,104,87,110,72,63,65,61,38,53,56,62,43,35,50,34,40,39,34,34,46,27,38,38,44,29,37,17,21,18,14,14,11,10,10,12,3,7,10,18,15,8,12,8,8,10,9,9,8,13,14,14,6,17,14,21,6
IWONNA,K,8,3,4,11,7,13,12,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARZENA,K,,1,1,,1,1,2,7,14,17,35,56,55,59,68,71,93,72,69,59,40,52,41,50,44,41,41,30,22,26,22,21,25,20,12,25,18,15,8,8,3,1,6,1,2,2,,1,2,,,,,,,,,1,,,,,1,,,1,
ELZBIETA,K,168,163,167,177,165,199,192,214,168,155,150,141,111,137,136,103,105,92,81,73,76,50,61,54,43,49,43,34,39,24,27,34,25,34,40,22,17,17,15,13,8,13,6,10,6,2,2,1,2,8,3,2,2,3,6,3,2,3,4,1,4,1,1,2,5,2,
MARTA,K,20,19,26,33,28,40,30,42,40,37,30,30,35,46,31,46,57,44,46,56,43,38,51,45,43,48,41,54,83,81,68,77,87,81,78,66,63,58,54,41,43,37,34,32,25,20,23,13,6,10,6,5,12,9,11,13,5,11,8,10,18,10,10,6,7,3,4
IZABELA,K,7,2,4,3,2,7,3,4,12,7,7,4,20,16,11,10,16,16,21,27,30,34,33,26,40,29,34,32,38,41,36,63,51,66,48,56,45,30,43,30,41,35,39,16,18,26,21,20,14,14,9,13,12,6,10,9,8,9,4,9,9,1,9,6,7,8,2
APOLONIA,K,3,,2,2,,1,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,1,,2,1,2,2,4
BOZENA,K,16,25,16,31,40,47,42,98,137,113,90,91,97,86,84,94,75,70,53,45,37,30,23,20,18,16,12,6,10,12,6,7,4,5,7,2,3,2,1,,,2,1,1,,,,,,,,,,1,,,,,,,1,,,1,,1,
NICOLA,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,3,2,6,4,2,3,1,3,,1
ZANETA,K,,,,,,,,,,,,,,,,,2,,,4,2,1,2,1,2,5,9,1,3,1,5,1,4,7,8,7,6,3,5,3,7,5,7,2,4,8,3,1,5,2,,,1,2,1,1,,1,,1,,,,,,,
IRENA,K,71,68,59,65,56,67,54,54,46,36,26,19,13,14,12,15,13,12,6,8,6,11,9,10,5,4,6,4,3,3,4,2,2,2,2,2,2,,2,,,,1,,,,,,,,1,1,,,,,1,,,,,1,,,,,1
NATASZA,K,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,1,1,2,5,,,,,,,2,,,,,1,1,1,,,,,,,,,,1,,1,2,1,3,6,7,6,4,3,4,2,
KAJA,K,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,,1,1,1,1,1,1,2,2,5,4,2,3,3,5,2,4,2,6,5,4,1,4,3,2,5,5,4,4,5,11,11,9,7,7,5
MAJA,K,,,,,,,,,,,,,,,,,,,,,,3,3,2,1,2,4,,2,7,8,4,1,5,5,2,4,,1,2,3,5,6,7,3,5,6,6,7,5,6,23,17,24,31,43,46,55,89,83,97,77,60,65,57,53,40
KLAUDIA,K,,,1,,,,,,,,,,,,,,1,,,1,,3,1,,3,1,3,1,2,4,3,4,,5,7,8,5,5,8,11,11,26,23,22,37,47,48,53,49,46,46,33,31,37,26,25,18,16,23,23,7,10,8,5,4,10,4
HENRYKA,K,30,26,21,22,22,21,25,21,15,12,11,4,6,5,4,3,3,,,3,2,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCELINA,K,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,2,2,3,2,1,,1,2,2,3,2,4,4,1,,3,5,8,5,2,3,5,5,4,7,6,8,8,8,10,9,9,11
EUGENIA,K,3,5,2,,4,2,6,5,3,1,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGNIESZKA,K,5,3,2,4,2,3,9,5,6,2,9,14,14,12,32,33,42,80,106,139,161,272,293,306,318,274,285,264,282,249,244,219,278,226,222,160,188,121,160,110,103,95,88,53,56,39,43,35,23,26,12,19,10,7,10,7,8,6,10,7,4,7,6,8,7,3,3
NIKOLA,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,,3,4,2,5,10,18,15,21,22,25,27,39,49,41,26,32,18,21,22,18,16
LENA,K,,,1,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,1,,,,,,2,,1,,1,,,,,,,,3,1,1,4,,1,4,6,13,25,25,51,61,75,82,58,55,51,35
MARIA,K,182,179,184,175,183,166,169,151,117,117,99,77,59,52,51,30,30,26,15,22,11,14,9,20,10,8,9,4,13,8,18,13,22,16,21,10,10,20,14,5,11,14,12,11,5,13,13,21,14,15,15,13,15,12,15,19,25,17,34,33,33,28,29,22,33,30,17
MIA,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,1,5,2,1
PATRYCJA,K,,,,,,,,,,,,,,,,,,,,,,,1,6,6,9,4,15,13,13,12,17,15,29,17,21,23,34,24,41,46,67,45,44,43,43,42,53,29,26,35,35,20,26,30,28,18,13,19,22,14,9,15,9,8,11,4
ALICJA,K,37,44,41,55,63,52,43,41,49,38,29,24,24,16,20,14,9,18,17,13,11,17,8,5,5,8,3,10,11,6,8,10,13,8,16,9,15,11,17,13,17,15,17,13,13,17,31,19,27,21,29,24,23,33,44,29,34,47,53,47,47,60,69,74,69,82,52
